Age,Income,Home_Status,Employment_Length,Loan_Intent,Loan_Grade,Loan_Amount,Interest_Rate,Loan_Status,Loan_Income_Percent,Historical_Default,Credit_History
24,82726,MORTGAGE,7.0,HOMEIMPROVEMENT,C,20000,,0,0.24,N,4
23,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,21000,11.71,0,0.35,N,4
22,55000,OWN,6.0,EDUCATION,B,25000,10.74,0,0.45,N,2
36,31000,RENT,2.0,VENTURE,A,2500,8.9,0,0.08,N,15
24,54000,RENT,8.0,MEDICAL,C,1500,14.17,0,0.03,Y,2
27,104371,RENT,4.0,HOMEIMPROVEMENT,D,15000,16.77,0,0.14,N,5
23,46000,RENT,2.0,VENTURE,D,6800,15.65,1,0.15,Y,4
25,115000,RENT,2.0,VENTURE,B,8000,11.71,0,0.07,N,4
42,45000,RENT,1.0,DEBTCONSOLIDATION,B,18200,10.83,1,0.4,N,14
37,100000,MORTGAGE,13.0,VENTURE,A,18400,5.99,0,0.18,N,15
26,41400,RENT,5.0,DEBTCONSOLIDATION,B,7300,9.45,0,0.18,N,4
29,29000,RENT,3.0,VENTURE,C,5000,15.23,0,0.17,Y,7
32,62000,MORTGAGE,3.0,EDUCATION,B,20000,11.36,0,0.32,N,9
23,58000,RENT,2.0,DEBTCONSOLIDATION,A,10000,7.88,0,0.17,N,2
22,72000,RENT,6.0,VENTURE,E,15000,17.19,0,0.21,N,2
25,42288,RENT,2.0,EDUCATION,B,5000,10.99,0,0.12,N,2
21,30000,RENT,2.0,MEDICAL,A,4150,6.76,0,0.14,N,3
30,60000,RENT,4.0,PERSONAL,B,12000,10.99,0,0.2,N,10
31,51500,RENT,6.0,EDUCATION,D,19000,14.83,1,0.37,Y,10
24,21600,RENT,0.0,EDUCATION,C,6600,12.68,1,0.31,Y,4
30,37000,RENT,0.0,MEDICAL,B,2750,9.99,0,0.07,N,5
62,51600,RENT,2.0,PERSONAL,A,8525,6.54,0,0.17,N,24
23,100000,RENT,0.0,PERSONAL,C,24250,12.87,0,0.24,Y,2
35,93000,RENT,12.0,VENTURE,C,14000,13.16,0,0.15,N,6
23,58000,OTHER,0.0,VENTURE,B,16000,12.21,0,0.28,N,4
25,32400,RENT,1.0,EDUCATION,C,2000,14.35,1,0.06,N,2
28,100000,MORTGAGE,0.0,VENTURE,C,18000,13.99,0,0.18,Y,6
24,72000,MORTGAGE,8.0,VENTURE,A,8000,7.88,0,0.11,N,4
35,65000,MORTGAGE,,VENTURE,A,6500,5.42,0,0.1,N,5
32,25200,RENT,9.0,MEDICAL,A,4900,6.17,0,0.19,N,6
26,54000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,7200,5.42,0,0.13,N,2
29,56500,RENT,3.0,EDUCATION,B,7000,,1,0.12,N,9
23,20400,RENT,5.0,EDUCATION,D,5500,,0,0.27,N,2
21,57000,OWN,5.0,PERSONAL,B,8000,10.65,0,0.14,N,3
26,78000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,3000,11.49,0,0.04,N,2
22,31000,RENT,6.0,PERSONAL,A,10000,8.9,1,0.32,N,4
29,30000,MORTGAGE,3.0,EDUCATION,B,4000,,0,0.13,N,6
31,80400,RENT,0.0,DEBTCONSOLIDATION,A,12000,7.29,0,0.15,N,10
48,80000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,7700,9.63,0,0.1,N,11
37,97000,MORTGAGE,7.0,PERSONAL,A,10000,,0,0.1,N,15
31,70550,RENT,2.0,MEDICAL,D,16000,17.49,1,0.19,N,8
22,48000,RENT,7.0,DEBTCONSOLIDATION,E,10000,17.99,1,0.21,Y,4
24,64600,RENT,2.0,PERSONAL,A,5000,7.9,0,0.08,N,3
35,110000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,10000,8.59,0,0.09,N,6
38,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,6000,13.99,0,0.17,N,16
25,51000,MORTGAGE,6.0,EDUCATION,C,3000,13.99,0,0.06,N,2
30,70000,RENT,2.0,MEDICAL,C,8000,13.11,0,0.11,Y,6
27,15600,RENT,1.0,HOMEIMPROVEMENT,D,2250,18.25,1,0.14,N,6
23,55004,MORTGAGE,4.0,EDUCATION,D,9600,14.74,0,0.17,Y,2
47,30000,RENT,2.0,HOMEIMPROVEMENT,C,3000,12.99,1,0.1,N,11
31,60000,OWN,0.0,VENTURE,B,24250,12.18,0,0.4,N,5
23,40000,OWN,6.0,EDUCATION,A,3000,7.66,0,0.07,N,3
28,75000,RENT,6.0,VENTURE,A,10000,7.9,0,0.13,N,5
43,72000,RENT,5.0,MEDICAL,B,6000,12.42,0,0.08,N,17
22,59000,RENT,2.0,EDUCATION,A,7200,8.0,0,0.12,N,3
32,58650,RENT,6.0,MEDICAL,D,17400,15.05,1,0.25,N,6
34,105000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,5.42,0,0.05,N,7
39,90000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,22000,12.67,0,0.24,Y,15
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2
27,80000,MORTGAGE,5.0,PERSONAL,C,35000,,0,0.44,N,8
21,40000,RENT,0.0,EDUCATION,B,16000,11.83,1,0.4,N,4
34,46500,MORTGAGE,18.0,EDUCATION,D,8500,,0,0.18,N,9
31,27600,OWN,1.0,EDUCATION,B,3000,11.49,0,0.11,N,9
24,39000,RENT,,EDUCATION,B,13000,10.75,1,0.33,N,4
25,62400,RENT,7.0,MEDICAL,B,2300,11.71,0,0.04,N,3
27,72000,OWN,2.0,MEDICAL,A,10000,6.62,0,0.14,N,9
24,48000,RENT,7.0,PERSONAL,C,10000,14.22,0,0.21,Y,4
33,87895,MORTGAGE,4.0,DEBTCONSOLIDATION,A,2800,7.14,0,0.03,N,9
31,24000,OWN,1.0,HOMEIMPROVEMENT,A,1200,8.94,0,0.05,N,5
34,185000,MORTGAGE,18.0,DEBTCONSOLIDATION,C,18250,,0,0.1,Y,5
33,87550,RENT,0.0,MEDICAL,C,9000,14.65,1,0.09,Y,7
23,36000,RENT,4.0,MEDICAL,D,6500,17.49,1,0.18,Y,4
25,55315,RENT,3.0,EDUCATION,B,15000,10.74,0,0.27,N,2
25,59000,RENT,4.0,MEDICAL,B,15000,9.99,1,0.25,N,3
37,48257,MORTGAGE,21.0,MEDICAL,D,7000,15.21,1,0.15,Y,17
23,60000,RENT,5.0,MEDICAL,A,10000,7.14,0,0.17,N,2
25,32000,RENT,1.0,MEDICAL,D,6000,12.92,1,0.19,N,2
23,44400,RENT,0.0,VENTURE,B,1500,11.63,0,0.03,N,4
28,115000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.09,N,8
32,78000,RENT,1.0,MEDICAL,B,4000,9.88,0,0.05,N,6
25,19200,RENT,0.0,HOMEIMPROVEMENT,B,5000,9.62,1,0.26,N,2
29,135000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,18000,14.61,0,0.13,N,8
27,15085,RENT,2.0,VENTURE,A,5500,5.99,1,0.36,N,8
26,84000,RENT,0.0,HOMEIMPROVEMENT,C,8000,12.61,1,0.1,N,4
23,39996,RENT,0.0,EDUCATION,C,6000,11.66,0,0.15,N,3
22,16800,MORTGAGE,0.0,DEBTCONSOLIDATION,C,4750,13.85,1,0.28,Y,4
21,40000,RENT,5.0,EDUCATION,A,10000,,0,0.25,N,2
24,43200,MORTGAGE,0.0,EDUCATION,C,10000,14.26,0,0.23,N,4
22,57000,MORTGAGE,6.0,EDUCATION,B,11400,12.53,0,0.2,N,3
24,46000,RENT,8.0,PERSONAL,B,13000,10.99,0,0.28,N,3
23,71004,OWN,1.0,EDUCATION,C,15000,13.47,0,0.21,Y,3
23,34008,RENT,5.0,VENTURE,B,3000,10.0,0,0.09,N,4
27,100000,MORTGAGE,2.0,MEDICAL,C,10000,12.09,0,0.1,Y,9
29,10000,OWN,0.0,PERSONAL,B,3250,11.12,1,0.33,N,9
32,37000,RENT,3.0,EDUCATION,B,5000,9.62,0,0.14,N,7
23,71004,RENT,8.0,EDUCATION,D,20000,14.09,0,0.28,N,3
21,33000,RENT,4.0,PERSONAL,B,8250,,0,0.25,N,2
33,44000,MORTGAGE,6.0,DEBTCONSOLIDATION,D,4500,14.74,1,0.1,N,10
23,50000,RENT,0.0,EDUCATION,A,8000,7.49,0,0.16,N,4
26,150000,MORTGAGE,6.0,EDUCATION,D,6400,15.62,0,0.04,Y,2
23,90000,MORTGAGE,7.0,PERSONAL,A,22000,6.99,0,0.24,N,4
22,65000,RENT,3.0,EDUCATION,B,5000,11.49,0,0.08,N,3
31,24000,RENT,0.0,PERSONAL,D,4400,15.62,1,0.18,N,6
31,44000,RENT,1.0,HOMEIMPROVEMENT,B,10000,10.71,1,0.23,N,9
26,130000,MORTGAGE,7.0,VENTURE,D,6500,15.99,0,0.05,Y,3
23,80000,RENT,6.0,PERSONAL,A,5000,5.42,0,0.06,N,2
41,54000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,5000,13.23,1,0.09,N,12
22,42000,MORTGAGE,,VENTURE,B,3500,9.91,0,0.08,N,2
30,58239,MORTGAGE,3.0,VENTURE,A,10500,6.62,0,0.18,N,5
39,70000,OWN,0.0,VENTURE,A,8000,,0,0.11,N,12
22,25200,MORTGAGE,1.0,PERSONAL,C,7000,13.92,0,0.28,N,3
30,107004,MORTGAGE,3.0,VENTURE,C,12000,13.79,0,0.11,Y,10
26,53000,MORTGAGE,3.0,VENTURE,A,2800,6.03,0,0.05,N,3
37,31200,MORTGAGE,5.0,EDUCATION,B,3000,9.99,0,0.1,N,16
31,43200,MORTGAGE,0.0,VENTURE,A,3000,8.9,0,0.07,N,6
24,38112,RENT,2.0,PERSONAL,A,6800,7.68,0,0.18,N,3
23,39000,RENT,2.0,HOMEIMPROVEMENT,D,10000,15.2,1,0.26,N,4
26,115200,MORTGAGE,10.0,DEBTCONSOLIDATION,C,4500,11.97,0,0.04,Y,2
37,40000,RENT,0.0,VENTURE,B,12000,9.91,0,0.3,N,15
25,109000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,14000,9.63,0,0.13,N,2
21,9600,RENT,0.0,EDUCATION,A,1750,8.94,1,0.18,N,2
24,43000,MORTGAGE,1.0,PERSONAL,D,4000,17.49,1,0.09,N,3
28,29950,RENT,4.0,EDUCATION,C,3825,14.27,0,0.13,N,8
24,39996,MORTGAGE,8.0,DEBTCONSOLIDATION,C,7500,12.22,0,0.19,N,4
34,30636,RENT,4.0,DEBTCONSOLIDATION,B,10000,10.37,1,0.33,N,10
26,78000,MORTGAGE,10.0,EDUCATION,A,10000,9.63,1,0.13,N,4
28,34000,RENT,1.0,VENTURE,C,5000,14.26,1,0.15,Y,9
24,45000,MORTGAGE,0.0,VENTURE,C,10625,14.27,1,0.24,Y,2
35,80308,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,7.88,0,0.15,N,10
29,50000,MORTGAGE,0.0,PERSONAL,B,3575,11.49,0,0.07,N,7
27,90000,RENT,4.0,HOMEIMPROVEMENT,A,10000,7.49,0,0.11,N,10
24,27000,RENT,0.0,DEBTCONSOLIDATION,C,10000,12.73,1,0.37,N,2
22,42224,RENT,7.0,VENTURE,A,20000,6.99,1,0.47,N,4
25,45000,MORTGAGE,5.0,EDUCATION,B,3800,10.65,0,0.08,N,3
22,33000,RENT,1.0,DEBTCONSOLIDATION,A,2000,,0,0.06,N,3
22,49000,RENT,3.0,MEDICAL,D,15000,14.61,1,0.31,N,3
31,24000,OWN,4.0,MEDICAL,D,2500,,0,0.1,Y,7
46,101500,MORTGAGE,8.0,DEBTCONSOLIDATION,B,15000,11.14,0,0.15,N,14
22,18000,OWN,1.0,EDUCATION,D,5400,15.31,1,0.3,Y,4
57,170000,RENT,5.0,HOMEIMPROVEMENT,C,6300,13.11,0,0.04,N,26
28,80569,MORTGAGE,2.0,EDUCATION,B,4000,9.63,0,0.05,N,7
22,65000,MORTGAGE,1.0,PERSONAL,B,7500,10.08,0,0.12,N,4
28,84800,RENT,4.0,VENTURE,B,9000,,0,0.11,N,7
41,17000,RENT,0.0,PERSONAL,C,1500,15.23,1,0.09,N,13
27,108000,MORTGAGE,6.0,MEDICAL,A,10000,6.54,0,0.09,N,8
27,125000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,24000,6.91,0,0.19,N,8
23,92000,MORTGAGE,7.0,PERSONAL,B,15000,11.26,0,0.16,N,2
24,52000,RENT,8.0,EDUCATION,D,20000,15.65,1,0.38,Y,2
33,52000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,1800,7.51,0,0.03,N,5
23,35000,RENT,5.0,PERSONAL,A,5000,6.99,0,0.14,N,2
46,47000,MORTGAGE,5.0,PERSONAL,A,6000,7.14,0,0.13,N,15
30,522000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,2500,7.43,0,0.0,N,9
21,13806,RENT,6.0,EDUCATION,C,4750,12.73,1,0.34,Y,2
33,60000,MORTGAGE,0.0,EDUCATION,A,4000,6.54,0,0.07,N,9
27,90000,MORTGAGE,12.0,EDUCATION,A,20000,,0,0.22,N,6
31,28000,RENT,1.0,HOMEIMPROVEMENT,D,3600,16.49,1,0.13,N,7
37,41000,RENT,3.0,PERSONAL,D,10750,15.37,0,0.26,N,14
32,75000,RENT,6.0,HOMEIMPROVEMENT,B,15000,8.88,1,0.2,N,9
31,200000,MORTGAGE,1.0,MEDICAL,B,7800,9.63,0,0.04,N,5
27,31200,OWN,0.0,HOMEIMPROVEMENT,F,14000,18.09,0,0.45,Y,9
34,43000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,11000,7.88,0,0.26,N,10
27,53250,RENT,1.0,MEDICAL,B,7000,10.37,0,0.13,N,6
28,40000,MORTGAGE,6.0,PERSONAL,A,10000,9.32,0,0.25,N,8
24,33048,RENT,6.0,EDUCATION,C,10600,11.97,1,0.32,Y,3
22,82000,MORTGAGE,5.0,EDUCATION,B,20000,9.88,0,0.24,N,4
38,90000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,7000,6.99,0,0.08,N,16
29,63600,RENT,5.0,DEBTCONSOLIDATION,B,12000,12.42,1,0.19,N,8
29,35000,OWN,,HOMEIMPROVEMENT,A,8300,7.9,0,0.24,N,7
23,42000,MORTGAGE,1.0,PERSONAL,C,5750,13.57,0,0.14,N,2
53,70000,RENT,6.0,PERSONAL,D,24000,16.77,1,0.34,N,20
42,14000,RENT,0.0,EDUCATION,C,1700,13.16,0,0.12,Y,13
37,21600,RENT,7.0,MEDICAL,B,3000,12.18,0,0.14,N,16
34,51312,RENT,0.0,HOMEIMPROVEMENT,C,18000,13.85,1,0.35,N,10
24,62400,RENT,8.0,EDUCATION,B,15000,9.45,0,0.24,N,2
52,52000,MORTGAGE,2.0,PERSONAL,A,10000,,0,0.19,N,29
24,88128,MORTGAGE,0.0,EDUCATION,B,1950,9.99,1,0.02,N,2
23,65000,RENT,7.0,EDUCATION,B,7000,10.75,0,0.11,N,4
25,42000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,7000,8.59,0,0.17,N,3
21,35000,OWN,5.0,VENTURE,C,6500,13.43,0,0.19,N,4
25,67500,RENT,2.0,EDUCATION,A,7200,7.88,0,0.11,N,4
26,40000,RENT,2.0,MEDICAL,A,12000,7.51,0,0.3,N,2
22,43000,RENT,0.0,EDUCATION,A,15000,8.49,1,0.35,N,2
25,60626,MORTGAGE,4.0,DEBTCONSOLIDATION,A,2500,6.92,0,0.04,N,3
24,70000,RENT,4.0,VENTURE,C,14400,12.68,0,0.21,N,4
29,48000,OWN,0.0,VENTURE,C,6000,14.27,0,0.13,N,7
24,54000,RENT,2.0,VENTURE,E,12500,14.5,1,0.23,N,4
22,52320,MORTGAGE,6.0,EDUCATION,D,15000,12.86,0,0.29,N,2
32,130000,MORTGAGE,13.0,EDUCATION,A,7500,7.29,0,0.06,N,6
25,46800,RENT,5.0,HOMEIMPROVEMENT,C,12000,13.11,1,0.26,Y,4
27,55000,RENT,11.0,VENTURE,A,3000,7.68,0,0.05,N,7
21,65000,RENT,0.0,VENTURE,B,12000,11.71,0,0.18,N,3
23,44400,MORTGAGE,8.0,EDUCATION,C,2500,12.68,0,0.06,N,3
30,165000,MORTGAGE,3.0,EDUCATION,D,5000,15.62,0,0.03,Y,10
38,81000,RENT,7.0,DEBTCONSOLIDATION,B,18000,10.59,0,0.22,N,16
27,25000,RENT,4.0,PERSONAL,D,8000,14.84,1,0.32,Y,7
27,44000,RENT,2.0,MEDICAL,B,15000,11.48,1,0.34,N,5
25,49000,RENT,3.0,EDUCATION,A,1000,7.66,0,0.02,N,3
22,95000,MORTGAGE,1.0,EDUCATION,C,7200,12.23,0,0.08,Y,4
23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3500,5.42,0,0.05,N,2
25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,N,3
23,40000,RENT,7.0,PERSONAL,A,2675,8.07,0,0.07,N,4
31,110000,MORTGAGE,5.0,VENTURE,D,5000,14.96,0,0.05,Y,9
33,30500,MORTGAGE,1.0,HOMEIMPROVEMENT,B,10000,9.33,1,0.33,N,6
21,86000,RENT,5.0,EDUCATION,B,6000,10.0,0,0.07,N,4
25,52000,MORTGAGE,3.0,MEDICAL,A,6000,9.32,0,0.12,N,2
23,16000,MORTGAGE,1.0,MEDICAL,C,5600,12.84,1,0.35,N,4
30,33000,RENT,2.0,VENTURE,B,2000,,0,0.06,N,8
37,93000,MORTGAGE,2.0,VENTURE,B,18000,12.18,0,0.19,N,11
28,240000,RENT,2.0,MEDICAL,B,6000,11.46,0,0.03,N,6
45,26748,OWN,8.0,MEDICAL,A,4000,7.88,0,0.15,N,12
23,38400,MORTGAGE,7.0,VENTURE,A,2000,,0,0.05,N,2
24,20000,OWN,2.0,PERSONAL,A,3000,8.94,0,0.15,N,3
31,36000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,4800,7.51,0,0.13,N,5
38,37200,RENT,1.0,DEBTCONSOLIDATION,B,5000,9.99,0,0.13,N,11
44,68500,MORTGAGE,4.0,PERSONAL,D,14300,15.31,0,0.21,N,17
21,52240,RENT,5.0,MEDICAL,E,18000,19.69,1,0.34,N,2
28,45678,OWN,12.0,PERSONAL,D,8000,15.58,0,0.18,N,10
27,54000,MORTGAGE,4.0,MEDICAL,A,9000,6.62,0,0.17,N,10
23,57600,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4000,,0,0.07,N,3
21,83000,MORTGAGE,4.0,MEDICAL,A,8500,8.0,0,0.1,N,4
26,32450,MORTGAGE,5.0,MEDICAL,A,3250,6.99,0,0.1,N,4
34,42000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,10000,14.65,0,0.24,N,6
23,58500,MORTGAGE,6.0,DEBTCONSOLIDATION,A,4000,8.0,0,0.07,N,3
30,95000,MORTGAGE,6.0,PERSONAL,A,4000,5.99,0,0.04,N,9
31,168000,MORTGAGE,2.0,EDUCATION,B,15500,9.25,0,0.09,N,9
24,100000,MORTGAGE,8.0,PERSONAL,D,17400,16.07,0,0.17,Y,4
31,78411,RENT,9.0,DEBTCONSOLIDATION,A,1400,,0,0.02,N,6
27,47000,RENT,1.0,MEDICAL,B,13000,10.99,0,0.28,N,5
22,48000,RENT,1.0,MEDICAL,C,1600,14.26,0,0.03,N,4
23,24290,RENT,0.0,MEDICAL,A,3400,7.51,0,0.14,N,4
25,33280,RENT,1.0,MEDICAL,B,5500,,0,0.17,N,4
26,115600,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9925,7.29,0,0.09,N,4
26,58947,RENT,10.0,MEDICAL,A,4500,6.03,0,0.08,N,2
27,45600,MORTGAGE,3.0,HOMEIMPROVEMENT,A,1450,8.49,0,0.03,N,8
32,13200,RENT,2.0,PERSONAL,A,3800,7.29,1,0.29,N,9
25,60000,MORTGAGE,3.0,EDUCATION,B,10000,10.36,0,0.17,N,4
43,22800,RENT,0.0,MEDICAL,B,5075,10.59,0,0.22,N,12
23,42000,RENT,1.0,MEDICAL,A,4100,7.88,0,0.1,N,2
31,99000,RENT,15.0,HOMEIMPROVEMENT,C,12000,14.26,0,0.12,N,10
29,108000,RENT,11.0,EDUCATION,B,16000,,1,0.15,N,7
48,19200,OWN,1.0,EDUCATION,C,7000,,1,0.36,Y,12
27,75000,OWN,11.0,HOMEIMPROVEMENT,C,6000,13.47,0,0.08,N,7
25,154000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,10.99,0,0.08,N,3
26,86000,MORTGAGE,10.0,VENTURE,B,5000,11.12,0,0.06,N,2
21,33600,RENT,4.0,EDUCATION,C,5000,13.49,0,0.15,N,3
30,144997,MORTGAGE,14.0,PERSONAL,B,25000,11.83,0,0.17,N,5
37,32400,OWN,0.0,EDUCATION,D,8000,15.99,0,0.25,N,12
24,37648,RENT,0.0,MEDICAL,A,8000,7.29,0,0.21,N,2
36,53000,RENT,5.0,HOMEIMPROVEMENT,C,3150,15.27,0,0.06,N,12
23,26880,RENT,6.0,DEBTCONSOLIDATION,C,3000,12.23,0,0.11,Y,2
27,223000,RENT,2.0,EDUCATION,F,25000,18.3,1,0.11,N,9
26,20000,MORTGAGE,1.0,PERSONAL,A,1500,7.74,0,0.07,N,3
32,41600,MORTGAGE,2.0,VENTURE,B,13200,11.71,0,0.32,N,7
41,120000,MORTGAGE,8.0,MEDICAL,B,20000,10.25,0,0.17,N,11
41,35400,RENT,11.0,VENTURE,C,1500,12.87,0,0.04,Y,14
36,140000,MORTGAGE,21.0,PERSONAL,A,8000,6.99,0,0.06,N,11
29,117000,RENT,6.0,EDUCATION,B,21000,10.65,0,0.18,N,5
24,53004,MORTGAGE,6.0,VENTURE,B,21000,10.65,0,0.4,N,4
28,85000,MORTGAGE,0.0,EDUCATION,E,24000,19.03,0,0.28,N,7
51,52250,RENT,4.0,VENTURE,C,9200,13.61,0,0.18,N,24
29,60000,RENT,4.0,VENTURE,B,8000,11.14,0,0.13,N,5
39,18300,RENT,0.0,EDUCATION,D,1200,14.74,1,0.07,N,17
22,126500,RENT,1.0,DEBTCONSOLIDATION,C,19200,13.79,0,0.15,Y,3
33,99000,MORTGAGE,8.0,MEDICAL,B,24000,11.36,0,0.24,N,7
24,62100,MORTGAGE,8.0,EDUCATION,C,6000,12.53,0,0.1,N,2
26,75000,RENT,4.0,PERSONAL,A,17500,7.9,0,0.23,N,2
24,34000,RENT,2.0,EDUCATION,C,5000,12.23,1,0.15,N,2
33,42804,RENT,17.0,EDUCATION,C,4000,12.73,1,0.09,Y,7
28,80000,RENT,8.0,HOMEIMPROVEMENT,B,18000,10.59,0,0.23,N,10
39,42000,RENT,0.0,PERSONAL,D,11000,13.55,1,0.26,N,12
26,57000,RENT,0.0,MEDICAL,B,12000,10.99,0,0.21,N,4
22,96000,RENT,3.0,DEBTCONSOLIDATION,C,12000,13.61,0,0.13,Y,3
28,76000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,5000,8.94,1,0.07,N,5
25,32004,RENT,5.0,DEBTCONSOLIDATION,C,5000,14.35,0,0.16,N,3
27,35000,RENT,5.0,VENTURE,C,10000,13.48,0,0.29,Y,8
39,24000,RENT,0.0,VENTURE,D,3000,14.12,1,0.13,N,12
23,15000,OWN,4.0,VENTURE,B,4600,10.99,1,0.31,N,2
25,72000,RENT,7.0,DEBTCONSOLIDATION,C,15000,12.68,0,0.21,N,3
28,90000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,1800,7.51,0,0.02,N,5
28,80000,RENT,8.0,VENTURE,D,14000,14.91,0,0.17,N,5
24,27600,RENT,4.0,PERSONAL,D,7000,15.62,1,0.25,Y,4
23,45000,MORTGAGE,1.0,MEDICAL,B,7200,11.86,0,0.16,N,2
29,260000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,20000,10.37,0,0.08,N,9
23,84000,MORTGAGE,7.0,EDUCATION,B,23000,11.99,0,0.27,N,2
26,15000,RENT,1.0,EDUCATION,D,2800,15.31,1,0.19,Y,4
23,66300,RENT,7.0,MEDICAL,D,9800,15.7,1,0.13,Y,2
24,72000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,8200,7.88,0,0.11,N,4
33,26400,RENT,3.0,MEDICAL,B,1000,10.99,0,0.04,N,7
22,33996,RENT,1.0,EDUCATION,D,14900,15.37,1,0.44,Y,2
26,53000,RENT,11.0,EDUCATION,C,4200,14.22,0,0.08,N,4
